candidate_id,name,email,phone,linkedin_url,portfolio_url,location_city,location_state,location_country,relocation_willingness,remote_preference,availability_status,total_experience_years,education_level,degrees,institutions,languages_spoken,primary_industry,sub_industries,skills_extracted,tools_and_technologies,certifications,top_titles_mentioned,domains_of_expertise,employment_history,semantic_summary,keywords_summary,career_stage,genai_relevance_score,medical_domain_score,construction_domain_score,cad_relevance_score,nlp_relevance_score,computer_vision_relevance_score,data_engineering_relevance_score,mlops_relevance_score,evidence_skills,evidence_domains,evidence_certifications,evidence_tools,source_channel,hiring_manager_notes,interview_feedback,offer_status,assigned_recruiter,resume_embedding_version,last_updated
CID0011,Quinn Jackson,quinn.jackson779@icloud.com,(811) 489-2647,https://www.linkedin.com/in/quinnjackson4854,https://github.com/quinn242,Boston,MA,USA,No,Hybrid,Notice (14 days),0.2,HighSchool,['B.S. Information Systems'],['MIT'],"['English', 'Mandarin', 'Hindi']",Government,['Public Health'],"['FastAPI', 'Java', 'Flask', 'TensorFlow', 'CAD', 'R', 'FHIR', 'Go', 'NLP', 'SQL']","['Spark', 'Vertex AI', 'LangGraph', 'GCP', 'HuggingFace', 'Redis', 'Airflow']","['AWS Developer', 'CKA']",['Civil Engineer'],"['Security', 'Unknown', 'Healthcare IT', 'Data Engineering', 'Software Engineering']",[],"Quinn Jackson has about 0.2 years of experience across Security, Unknown, Healthcare IT, working with FastAPI, Java, Flask, TensorFlow and tools like Spark, Vertex AI, LangGraph.","['AutoCAD automation', 'GraphQL APIs', 'de-identification', 'Realtime inference', 'FHIR integration', 'vector search', 'predictive modeling']",Entry,0.2,0.59,0.05,0.05,0.02,0.0,0.59,0.14,"['SQL in production', 'Used GCP', 'Built de-identification']","['Projects in Security', 'Industry: Government', 'Sub: Public Health']","['AWS Developer', 'CKA']","['LangGraph', 'Redis']",Referral,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0012,Taylor Davis,taylor.davis947@yahoo.com,(840) 803-4241,https://www.linkedin.com/in/taylordavis1881,https://github.com/taylor567,Houston,TX,USA,Yes,Hybrid,Notice (14 days),12.4,PhD,['B.E. Computer Science'],"['Purdue University', 'Osmania University']","['English', 'Mandarin', 'Arabic']",Construction,"['MEP', 'Architecture']","['Kubernetes', 'Docker', 'FastAPI', 'Flask', 'SQL', 'Data Warehousing', 'R', 'Django', 'TensorFlow', 'CI/CD']","['LangChain', 'Vertex AI', 'PostgreSQL', 'BigQuery', 'Snowflake', 'Airflow']",[],['MLOps Engineer'],"['Construction', 'Computer Vision', 'Data Engineering', 'MLOps', 'GenAI']",[],"Taylor Davis has about 12.4 years of experience across Construction, Computer Vision, Data Engineering, working with Kubernetes, Docker, FastAPI, Flask and tools like LangChain, Vertex AI, PostgreSQL.","['RAG pipeline', 'de-identification', 'Realtime inference', 'predictive modeling', 'vector search', 'ETL pipelines', 'EHR analytics']",Lead/Manager,0.74,0.01,0.77,0.03,0.08,0.65,0.68,0.8,"['Docker in production', 'Used BigQuery', 'Built EHR analytics']","['Projects in GenAI', 'Industry: Construction', 'Sub: MEP']",[],"['Airflow', 'Snowflake']",Agency,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0013,Jordan Miller,jordan.miller531@yahoo.com,(837) 974-9167,https://www.linkedin.com/in/jordanmiller846,https://github.com/jordan218,San Diego,CA,USA,No,Hybrid,Notice (14 days),6.6,Unknown,"['B.S. Computer Science', 'M.S. Computer Science']",['Osmania University'],['English'],Education,['Research'],"['Revit', 'Power BI', 'NLP', 'Flask', 'Plotly', 'HIPAA', 'GenAI']","['Airflow', 'HuggingFace', 'Snowflake', 'Elasticsearch', 'Spark', 'PostgreSQL', 'AWS']","['GCP Professional Data Engineer', 'TensorFlow Developer', 'AWS Developer']","['Civil Engineer', 'Software Engineer', 'ML Engineer']","['Data Engineering', 'CAD', 'Software Engineering', 'Construction']",[],"Jordan Miller has about 6.6 years of experience across Data Engineering, CAD, Software Engineering, working with Revit, Power BI, NLP, Flask and tools like Airflow, HuggingFace, Snowflake.","['AutoCAD automation', 'time-series forecasting', 'Realtime inference', 'GraphQL APIs']",Senior,0.13,0.15,0.73,0.76,0.1,0.23,0.89,0.11,"['NLP in production', 'Used AWS', 'Built time-series forecasting']","['Projects in CAD', 'Industry: Education', 'Sub: Research']","['GCP Professional Data Engineer', 'TensorFlow Developer', 'AWS Developer']","['HuggingFace', 'AWS']",Agency,unknown,unknown,In pipeline,unknown,unknown,2025-10-19
CID0014,Dakota Thomas,dakota.thomas723@proton.me,(595) 879-3492,https://www.linkedin.com/in/dakotathomas607,https://github.com/dakota139,Minneapolis,MN,USA,Unknown,Onsite,Open,13.1,Diploma,['MBA'],['Osmania University'],['English'],Manufacturing,"['Plant Ops', 'Supply Chain', 'Robotics']","['TensorFlow', 'Data Warehousing', 'Epic', 'React', 'HIPAA', 'SQL', 'Java', 'EHR', 'Docker', 'Matplotlib']","['Spark', 'OpenAI API', 'LangGraph', 'Vertex AI', 'PostgreSQL', 'dbt']","['TensorFlow Developer', 'HIPAA']",['Data Engineer'],"['Unknown', 'NLP']",[],"Dakota Thomas has about 13.1 years of experience across Unknown, NLP, working with TensorFlow, Data Warehousing, Epic, React and tools like Spark, OpenAI API, LangGraph.","['ETL pipelines', 'time-series forecasting', 'AutoCAD automation', 'FHIR integration', 'GraphQL APIs', 'RAG pipeline', 'de-identification']",Lead/Manager,0.11,0.13,0.07,0.12,0.62,0.2,0.05,0.05,"['Matplotlib in production', 'Used Vertex AI', 'Built GraphQL APIs']","['Projects in Unknown', 'Industry: Manufacturing', 'Sub: Supply Chain']","['TensorFlow Developer', 'HIPAA']","['PostgreSQL', 'OpenAI API']",Career Page,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0015,Quinn Anderson,quinn.anderson262@gmail.com,(676) 494-9955,https://www.linkedin.com/in/quinnanderson1211,https://github.com/quinn462,Raleigh,NC,USA,No,Onsite,Notice (30 days),10.4,Diploma,"['M.S. Data Science', 'MBA']","['Stanford University', 'Northwestern University']","['English', 'French']",Technology,"['DevOps', 'SaaS', 'Cloud']","['Power BI', 'EHR', 'React', 'FHIR', 'Python', 'ETL']","['LangGraph', 'Spark', 'Airflow', 'PostgreSQL', 'Kafka', 'AWS', 'dbt', 'MongoDB', 'OpenAI API', 'GCP']",['AWS Developer'],"['Data Scientist', 'Backend Engineer', 'MLOps Engineer']","['Security', 'CAD']",[],"Quinn Anderson has about 10.4 years of experience across Security, CAD, working with Power BI, EHR, React, FHIR and tools like LangGraph, Spark, Airflow.","['vector search', 'AutoCAD automation', 'RAG pipeline', 'de-identification', 'ETL pipelines']",Lead/Manager,0.24,0.26,0.11,0.58,0.15,0.08,0.05,0.27,"['FHIR in production', 'Used Kafka', 'Built RAG pipeline']","['Projects in Security', 'Industry: Technology', 'Sub: SaaS']",['AWS Developer'],"['Spark', 'Airflow']",Career Page,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0016,Hayden Lopez,hayden.lopez93@proton.me,(214) 470-9791,https://www.linkedin.com/in/haydenlopez7452,https://github.com/hayden387,San Francisco,CA,USA,Unknown,Onsite,Unknown,5.7,Unknown,"['B.S. Computer Science', 'B.Eng. Civil Engineering']",['UT Austin'],['English'],Logistics,"['Fleet', 'Warehousing']","['Go', 'Epic', 'HL7', 'HIPAA', 'Django', 'NLP', 'GenAI', 'R', 'Cerner', 'Plotly', 'FastAPI', 'CI/CD', 'Data Warehousing']","['OpenAI API', 'GCP', 'Redis', 'MongoDB', 'Kafka']","['GCP Professional Data Engineer', 'TensorFlow Developer', 'HIPAA']",['MLOps Engineer'],"['Construction', 'GenAI', 'CAD', 'Healthcare IT', 'MLOps']",[],"Hayden Lopez has about 5.7 years of experience across Construction, GenAI, CAD, working with Go, Epic, HL7, HIPAA and tools like OpenAI API, GCP, Redis.","['Kubernetes ops', 'RAG pipeline', 'vector search', 'time-series forecasting', 'DevOps CI/CD', 'GraphQL APIs', 'FHIR integration']",Mid,0.74,0.59,0.55,0.84,0.2,0.19,0.18,0.68,"['Go in production', 'Used OpenAI API', 'Built FHIR integration']","['Projects in CAD', 'Industry: Logistics', 'Sub: Fleet']","['GCP Professional Data Engineer', 'TensorFlow Developer', 'HIPAA']","['GCP', 'Kafka']",Career Page,unknown,unknown,In pipeline,unknown,unknown,2025-10-19
CID0017,Hayden Miller,hayden.miller601@outlook.com,(438) 536-3417,https://www.linkedin.com/in/haydenmiller4543,https://github.com/hayden889,Chicago,IL,USA,Yes,Hybrid,Unknown,3.8,Master,['M.S. Computer Science'],['MIT'],"['English', 'Hindi']",Logistics,"['Fleet', 'Warehousing']","['R', 'GenAI', 'Cerner', 'Django', 'Kubernetes', 'NLP', 'Plotly', 'SQL', 'FastAPI', 'Flask']","['Kafka', 'HuggingFace', 'AWS', 'MongoDB', 'PostgreSQL', 'Airflow', 'LangChain', 'BigQuery', 'dbt', 'Snowflake']","['CKA', 'HIPAA']",['Data Scientist'],"['Data Engineering', 'Unknown', 'NLP', 'MLOps', 'CAD']",[],"Hayden Miller has about 3.8 years of experience across Data Engineering, Unknown, NLP, working with R, GenAI, Cerner, Django and tools like Kafka, HuggingFace, AWS.","['vector search', 'Realtime inference', 'RAG pipeline', 'GraphQL APIs', 'ETL pipelines', 'time-series forecasting', 'EHR analytics']",Mid,0.3,0.16,0.14,0.75,0.7,0.18,0.75,0.63,"['GenAI in production', 'Used HuggingFace', 'Built EHR analytics']","['Projects in CAD', 'Industry: Logistics', 'Sub: Fleet']","['CKA', 'HIPAA']","['LangChain', 'BigQuery']",Career Page,unknown,unknown,Hired,unknown,unknown,2025-10-19
CID0018,Dakota Anderson,dakota.anderson409@proton.me,(947) 297-6120,https://www.linkedin.com/in/dakotaanderson5121,https://github.com/dakota691,Houston,TX,USA,No,Onsite,Employed,10.3,Diploma,['B.S. Computer Science'],['Stanford University'],"['English', 'Spanish']",Technology,['AI'],"['Docker', 'TensorFlow', 'EHR', 'NLP', 'Django', 'PyTorch', 'Plotly', 'Power BI', 'R', 'HL7', 'Data Warehousing', 'GraphQL', 'CI/CD', 'Matplotlib']","['HuggingFace', 'Milvus', 'GCP', 'Spark', 'PostgreSQL', 'Elasticsearch', 'LangGraph', 'Azure']","['AWS Developer', 'Azure Fundamentals']","['DevOps Engineer', 'AI Engineer']","['Software Engineering', 'Security', 'Unknown', 'GenAI', 'Construction']",[],"Dakota Anderson has about 10.3 years of experience across Software Engineering, Security, Unknown, working with Docker, TensorFlow, EHR, NLP and tools like HuggingFace, Milvus, GCP.","['FHIR integration', 'ETL pipelines', 'AutoCAD automation', 'predictive modeling', 'RAG pipeline', 'DevOps CI/CD']",Lead/Manager,0.6,0.17,0.85,0.12,0.04,0.19,0.01,0.22,"['NLP in production', 'Used LangGraph', 'Built predictive modeling']","['Projects in GenAI', 'Industry: Technology', 'Sub: AI']","['AWS Developer', 'Azure Fundamentals']","['GCP', 'Elasticsearch']",Referral,unknown,unknown,Rejected,unknown,unknown,2025-10-19
CID0019,Reese Martin,reese.martin87@gmail.com,(359) 361-1815,https://www.linkedin.com/in/reesemartin4459,https://github.com/reese463,Seattle,WA,USA,Unknown,Unknown,Notice (30 days),9.1,Diploma,"['M.S. Data Science', 'M.Eng. Civil Engineering']",['Carnegie Mellon University'],"['English', 'Spanish']",Education,"['Research', 'EdTech']","['React', 'Data Warehousing', 'R', 'Python', 'AutoCAD', 'HL7', 'Power BI', 'GenAI', 'FHIR']","['dbt', 'AWS', 'LangChain', 'Spark', 'Elasticsearch', 'Vertex AI']",['Azure Fundamentals'],"['AI Engineer', 'Civil Engineer', 'Full-Stack Developer']","['Data Engineering', 'GenAI']",[],"Reese Martin has about 9.1 years of experience across Data Engineering, GenAI, working with React, Data Warehousing, R, Python and tools like dbt, AWS, LangChain.","['FHIR integration', 'EHR analytics', 'vector search', 'RAG pipeline', 'de-identification', 'DevOps CI/CD', 'GraphQL APIs']",Senior,0.82,0.12,0.29,0.05,0.28,0.14,0.63,0.21,"['HL7 in production', 'Used dbt', 'Built RAG pipeline']","['Projects in Data Engineering', 'Industry: Education', 'Sub: Research']",['Azure Fundamentals'],"['Spark', 'Elasticsearch']",Agency,unknown,unknown,Unknown,unknown,unknown,2025-10-19
CID0020,Taylor Gonzalez,taylor.gonzalez892@yahoo.com,(963) 547-4630,https://www.linkedin.com/in/taylorgonzalez2755,https://github.com/taylor88,Miami,FL,USA,Unknown,Remote,Unknown,7.6,Bachelor,"['B.E. Computer Science', 'B.S. Computer Science']",['University of Chicago'],"['English', 'Hindi']",Finance,"['Trading', 'Risk', 'Fintech']","['Java', 'GraphQL', 'HIPAA', 'FastAPI', 'Flask', 'Go', 'ETL', 'CI/CD']","['SageMaker', 'dbt', 'BigQuery', 'GCP', 'MongoDB', 'LangGraph', 'PostgreSQL']","['PMP', 'Azure Fundamentals', 'GCP Professional Data Engineer']","['Data Scientist', 'Full-Stack Developer', 'ML Engineer']","['MLOps', 'Unknown', 'GenAI', 'Software Engineering']",[],"Taylor Gonzalez has about 7.6 years of experience across MLOps, Unknown, GenAI, working with Java, GraphQL, HIPAA, FastAPI and tools like SageMaker, dbt, BigQuery.","['AutoCAD automation', 'vector search', 'predictive modeling', 'time-series forecasting', 'DevOps CI/CD', 'de-identification']",Senior,0.76,0.24,0.27,0.13,0.24,0.2,0.1,0.72,"['CI/CD in production', 'Used MongoDB', 'Built vector search']","['Projects in MLOps', 'Industry: Finance', 'Sub: Risk']","['PMP', 'Azure Fundamentals', 'GCP Professional Data Engineer']","['SageMaker', 'PostgreSQL']",Referral,unknown,unknown,In pipeline,unknown,unknown,2025-10-19
